,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
345,LP002984,0.0,1.0,2,Graduate,No,7583,0.0,187.0,360.0,1.0,Urban,1
346,LP001528,0.0,0.0,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,0
347,LP002706,0.0,1.0,1,Not Graduate,No,5285,1430.0,161.0,360.0,0.0,Semiurban,1
348,LP002720,0.0,1.0,3+,Graduate,No,4281,0.0,100.0,360.0,1.0,Urban,1
350,LP001275,0.0,1.0,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,1
351,LP002777,0.0,1.0,0,Graduate,No,2785,2016.0,110.0,360.0,1.0,Rural,1
352,LP001114,0.0,0.0,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,1
353,LP001263,0.0,1.0,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,0
354,LP002239,0.0,0.0,0,Not Graduate,No,2346,1600.0,132.0,360.0,1.0,Semiurban,1
356,LP002961,0.0,1.0,1,Graduate,No,3400,2500.0,173.0,360.0,1.0,Semiurban,1
357,LP001640,0.0,1.0,0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,1
360,LP002842,0.0,1.0,1,Graduate,No,3417,1750.0,186.0,360.0,1.0,Urban,1
363,LP002755,0.0,1.0,1,Not Graduate,No,2239,2524.0,128.0,360.0,1.0,Urban,1
364,LP002149,0.0,1.0,2,Graduate,No,8333,3167.0,165.0,360.0,1.0,Rural,1
365,LP002487,0.0,1.0,0,Graduate,No,3015,2188.0,153.0,360.0,1.0,Rural,1
366,LP001811,0.0,1.0,0,Not Graduate,No,3406,4417.0,123.0,360.0,1.0,Semiurban,1
367,LP001658,0.0,0.0,0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,1
369,LP002187,0.0,0.0,0,Graduate,No,2500,0.0,96.0,480.0,1.0,Semiurban,0
370,LP002244,0.0,1.0,0,Graduate,No,2333,2417.0,136.0,360.0,1.0,Urban,1
371,LP001543,0.0,1.0,1,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,1
372,LP002119,0.0,1.0,1,Not Graduate,No,4554,1229.0,158.0,360.0,1.0,Urban,1
375,LP002622,0.0,1.0,2,Graduate,No,3510,4416.0,243.0,360.0,1.0,Rural,1
376,LP001693,1.0,0.0,0,Graduate,No,3244,0.0,80.0,360.0,1.0,Urban,1
377,LP002284,0.0,0.0,0,Not Graduate,No,3902,1666.0,109.0,360.0,1.0,Rural,1
378,LP002948,0.0,1.0,2,Graduate,No,5780,0.0,192.0,360.0,1.0,Urban,1
379,LP001751,0.0,1.0,0,Graduate,No,3250,0.0,170.0,360.0,1.0,Rural,0
380,LP001432,0.0,1.0,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,1
381,LP002741,1.0,1.0,1,Graduate,No,4608,2845.0,140.0,180.0,1.0,Semiurban,1
382,LP002652,0.0,0.0,0,Graduate,No,5815,3666.0,311.0,360.0,1.0,Rural,0
383,LP002190,0.0,1.0,1,Graduate,No,6325,0.0,175.0,360.0,1.0,Semiurban,1
384,LP001253,0.0,1.0,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,1
385,LP002443,0.0,1.0,2,Graduate,No,3340,1710.0,150.0,360.0,0.0,Rural,0
386,LP002776,1.0,0.0,0,Graduate,No,5000,0.0,103.0,360.0,0.0,Semiurban,0
387,LP002277,1.0,0.0,0,Graduate,No,3180,0.0,71.0,360.0,0.0,Urban,0
388,LP001507,0.0,1.0,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,1
389,LP002731,1.0,0.0,0,Not Graduate,Yes,18165,0.0,125.0,360.0,1.0,Urban,1
391,LP002953,0.0,1.0,3+,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban,1
392,LP001841,0.0,0.0,0,Not Graduate,Yes,2583,2167.0,104.0,360.0,1.0,Rural,1
393,LP001157,1.0,0.0,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,1
394,LP001119,0.0,0.0,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,0
395,LP001716,0.0,1.0,0,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,1
396,LP002068,0.0,0.0,0,Graduate,No,4917,0.0,130.0,360.0,0.0,Rural,1
397,LP002547,0.0,1.0,1,Graduate,No,18333,0.0,500.0,360.0,1.0,Urban,0
398,LP001151,1.0,0.0,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,1
399,LP001478,0.0,0.0,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,1
401,LP002211,0.0,1.0,0,Graduate,No,4817,923.0,120.0,180.0,1.0,Urban,1
402,LP002571,0.0,0.0,0,Not Graduate,No,3691,0.0,110.0,360.0,1.0,Rural,1
404,LP002990,1.0,0.0,0,Graduate,Yes,4583,0.0,133.0,360.0,0.0,Semiurban,0
405,LP001073,0.0,1.0,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,1
406,LP001674,0.0,1.0,1,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban,1
407,LP001552,0.0,1.0,0,Graduate,No,4583,5625.0,255.0,360.0,1.0,Semiurban,1
408,LP001871,1.0,0.0,0,Graduate,No,7200,0.0,120.0,360.0,1.0,Rural,1
409,LP001825,0.0,1.0,0,Graduate,No,1809,1868.0,90.0,360.0,1.0,Urban,1
410,LP001854,0.0,1.0,3+,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,0
413,LP001030,0.0,1.0,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,1
414,LP001870,1.0,0.0,1,Graduate,No,3481,0.0,155.0,36.0,1.0,Semiurban,0
415,LP002926,0.0,1.0,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban,0
419,LP001691,0.0,1.0,2,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,1
420,LP001028,0.0,1.0,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,1
421,LP001778,0.0,1.0,1,Graduate,No,3155,1779.0,140.0,360.0,1.0,Semiurban,1
422,LP002449,0.0,1.0,0,Graduate,No,2483,2466.0,90.0,180.0,0.0,Rural,1
424,LP002519,0.0,1.0,3+,Graduate,No,4691,0.0,100.0,360.0,1.0,Semiurban,1
426,LP002531,0.0,1.0,1,Graduate,Yes,16667,2250.0,86.0,360.0,1.0,Semiurban,1
428,LP001940,0.0,1.0,2,Graduate,No,3153,1560.0,134.0,360.0,1.0,Urban,1
429,LP001194,0.0,1.0,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,1
